Transaction Set ID,Transaction Set Control Number,Transaction Handling Code,Report Start Date,Report End Date,Purchase Order,Entity Identifier Code,Name,Identification Code Qualifier,Identification Code,Assigned Identification,Product/Service ID Qualifier1,Product/Service ID1,Product/Service ID Qualifier2,Product/Service ID2,Product/Service ID Qualifier3,Product/Service ID3,Status,Activity Code,Quantity,UOM,Number of Included Segments
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QX,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QO,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QA,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QP,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QR,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QD,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,WQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,LS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QW,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QZ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,Q2,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,Q3,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QH,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QC,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,RE,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QK,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OP,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QI,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OF,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,PA,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QN,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,PO,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,BS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,MS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QE,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QF,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QM,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QL,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,Q1,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,QT,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571793,N4,73380470001,UI,37338047001,A,TS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QX,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QO,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QA,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QP,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QR,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QD,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,WQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,LS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QW,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QZ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,Q2,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,Q3,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QH,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QC,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,RE,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QK,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OP,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QI,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OF,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,PA,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QN,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,PO,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,BS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,MS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QE,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QF,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QM,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QL,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,Q1,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,QT,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1571819,N4,99999999999,UI,99999999999,A,TS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QX,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QO,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QA,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QP,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QR,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QD,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,WQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,LS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QW,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QZ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,Q2,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,Q3,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QH,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QC,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,RE,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QK,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OP,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QI,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OF,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,PA,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QN,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,PO,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,BS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,MS,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QE,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QF,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,OQ,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QM,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QL,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,Q1,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,QT,0,EA,146
852,0001,G,20201014,20201014,0000005999471246,ST,McKesson Plasma & Biologics LLC,21,0GCKDRG00,,CB,1572106,N4,73380471509,UI,37338047159,A,TS,0,EA,146
